iteration	gesture_code	sensor_1_ax	sensor_1_ay	sensor_1_az	sensor_1_gx	sensor_1_gy	sensor_1_gz	sensor_2_ax	sensor_2_ay	sensor_2_az	sensor_2_gx	sensor_2_gy	sensor_2_gz	onboard_ax	onboard_ay	onboard_az	onboard_gx	onboard_gy	onboard_gz
1  0	7.94	-4.36	4.79	0.18	0.07	-0.02	5.05	-6.74	5.65	0.04	-0.05	-0.15	-0.86	0.43	0.33	-7.87	0.12	-3.97
1  0	7.46	-4.85	5.71	0.19	-0.01	-0.16	5.15	-6.23	6.05	-0.01	-0.08	-0.23	-0.84	0.41	0.35	-2.50	1.83	-6.04
1  0	7.59	-4.85	5.99	-0.01	0.01	0.06	5.31	-6.04	6.33	-0.04	0.07	-0.21	-0.85	0.42	0.36	-3.91	1.10	1.34
1  0	7.60	-4.41	5.52	0.03	-0.00	-0.01	5.50	-6.16	5.64	-0.04	0.01	-0.09	-0.85	0.38	0.33	-0.43	0.98	-0.18
1  0	7.54	-4.12	5.65	-0.05	0.12	0.08	5.62	-5.88	5.52	-0.02	0.15	-0.03	-0.84	0.37	0.35	-0.98	-4.09	1.10
1  0	7.63	-4.44	5.44	-0.00	0.08	0.08	5.28	-5.70	6.39	0.01	0.11	-0.05	-0.85	0.44	0.36	-2.56	-1.28	1.89
1  0	7.41	-4.84	5.67	0.13	-0.01	-0.03	5.25	-5.84	6.04	0.06	-0.01	0.03	-0.83	0.42	0.36	-0.79	-0.67	0.37
1  0	7.69	-4.74	5.32	0.00	0.03	-0.04	5.37	-5.96	6.11	0.01	0.08	-0.03	-0.86	0.43	0.34	0.18	-1.71	0.55
1  0	7.74	-4.41	5.18	-0.04	0.09	0.01	5.36	-5.96	6.08	0.02	0.07	-0.04	-0.86	0.42	0.34	-0.49	-1.83	0.37
1  0	7.55	-4.41	5.39	-0.06	0.06	-0.00	5.29	-5.88	6.03	-0.02	0.06	-0.03	-0.85	0.40	0.35	1.34	-1.53	0.85
1  0	7.47	-4.33	5.50	0.03	0.01	0.05	5.21	-5.78	6.05	0.00	0.03	0.03	-0.83	0.42	0.36	-1.89	-0.06	1.59
1  0	7.64	-4.67	5.38	-0.02	0.02	-0.03	5.33	-6.11	6.17	-0.04	0.04	-0.03	-0.85	0.43	0.35	2.32	0.37	-0.12
1  0	7.19	-4.75	6.11	0.04	-0.06	-0.04	5.16	-5.71	6.42	-0.08	-0.02	-0.02	-0.82	0.43	0.37	0.92	2.62	-0.18
1  0	7.50	-4.60	5.33	-0.02	0.04	-0.00	5.23	-5.83	6.32	0.01	-0.00	-0.01	-0.84	0.42	0.35	0.49	0.49	-0.55
1  0	7.52	-4.49	5.59	-0.01	0.09	-0.02	5.32	-5.79	5.94	0.00	0.03	-0.02	-0.85	0.41	0.34	-1.89	-2.20	-1.40
1  0	7.45	-4.72	5.76	-0.00	0.02	0.00	5.38	-5.84	6.34	-0.01	-0.00	0.01	-0.83	0.42	0.37	0.12	-0.43	0.61
1  0	7.33	-4.76	5.54	-0.05	-0.01	-0.07	5.16	-5.69	6.29	-0.07	0.00	-0.01	-0.83	0.41	0.36	4.03	1.77	-0.98
1  0	7.18	-5.15	6.11	-0.02	0.04	-0.02	5.17	-5.69	6.21	-0.02	0.02	-0.01	-0.82	0.41	0.37	0.79	-1.59	-0.92
1  0	7.54	-3.98	4.98	0.11	-0.28	-0.32	5.24	-5.59	6.24	-0.19	-0.09	-0.09	-0.84	0.42	0.36	7.39	9.95	-5.37
1  0	7.50	-4.58	5.54	-0.02	-0.01	-0.08	5.35	-5.75	5.85	-0.02	-0.04	-0.02	-0.84	0.41	0.35	-0.85	1.28	-2.01
1  0	7.57	-4.37	5.38	0.05	-0.03	-0.04	5.25	-5.75	6.08	-0.01	-0.03	0.03	-0.83	0.42	0.35	2.26	1.53	-1.16
1  0	7.74	-4.50	5.28	0.01	-0.01	-0.07	5.37	-5.92	5.98	-0.05	0.00	-0.03	-0.84	0.42	0.35	2.20	1.53	-2.14
